"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"androidx.glance:glance-appwidget-external-protobuf:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","The 3-Clause BSD License","https://opensource.org/licenses/BSD-3-Clause",
"androidx.glance:glance-appwidget-preview:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-appwidget-proto:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-material3:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.glance:glance-preview:1.2.0-rc01","https://developer.android.com/jetpack/androidx/releases/glance#1.2.0-rc01","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-path:1.0.1","https://developer.android.com/jetpack/androidx/releases/graphics#1.0.1","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-shapes:1.1.0","https://developer.android.com/jetpack/androidx/releases/graphics#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.graphics:graphics-shapes-android:1.1.0","https://developer.android.com/jetpack/androidx/releases/graphics#1.1.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.hilt:hilt-lifecycle-viewmodel:1.3.0","https://developer.android.com/jetpack/androidx/releases/hilt#1.3.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.hilt:hilt-lifecycle-viewmodel-compose:1.3.0","https://developer.android.com/jetpack/androidx/releases/hilt#1.3.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.interpolator:interpolator:1.0.0","http://developer.android.com/tools/extras/support-library.html","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-common:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-common-java8:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-common-jvm:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-livedata:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-livedata-core:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-livedata-core-ktx:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-process:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime-compose:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime-compose-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime-ktx:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-runtime-ktx-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-service:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel-compose:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel-compose-android:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
"androidx.lifecycle:lifecycle-viewmodel-ktx:2.10.0","https://developer.android.com/jetpack/androidx/releases/lifecycle#2.10.0","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0",
